group,midterm_score
non_practice,0
non_practice,0
non_practice,0
non_practice,0
non_practice,0
non_practice,1
non_practice,1
non_practice,20
non_practice,20
non_practice,20
non_practice,20
non_practice,20
non_practice,20
non_practice,20
non_practice,20
non_practice,20
non_practice,20
non_practice,21
non_practice,25
non_practice,29
non_practice,33
non_practice,40
non_practice,40
non_practice,62
non_practice,65
non_practice,70
non_practice,211
practice,0
practice,13
practice,20
practice,21
practice,40
practice,41
practice,46
practice,50
practice,65
practice,79
practice,126
practice,135
practice,245
practice,0
practice,20
practice,20
practice,20
practice,21
practice,37
practice,46
practice,46
practice,54
practice,56
practice,74
practice,74
practice,99
practice,100
practice,210
practice,0
practice,20
practice,20
practice,21
practice,29
practice,37
practice,37
practice,40
practice,63
practice,65
practice,70
practice,70
practice,82
practice,95
practice,99
practice,107
practice,116
practice,120
practice,124
practice,131
practice,140
practice,142
practice,148
practice,151
practice,176
practice,185
practice,187
practice,200
practice,202
practice,211
practice,215
practice,227
practice,235
practice,236
practice,244
practice,260
practice,260
practice,260
practice,260
practice,270
practice,280
practice,290
practice,290
practice,300
practice,321
practice,400
